========================================================================================================================
COVERAGE MATRIX - COMPLETE DATA DUMP
Source: C:\Users\tewing\Desktop\Claude Projects\Key_SOP_Matrix_RACI_Updated.xlsx
Sheet: Coverage Matrix
Total data rows: 343
Excel headers: ['SOP Title', 'SOP Action', 'Responsible Role', '(RACI) Responsible', '(RACI) Accountable', '(RACI) Consulted', '(RACI) Informed', 'Directive Section', 'Coverage Status', 'Gap Closure Recommendation', 'Category']
========================================================================================================================

Row# | SOP Title | SOP Action | Responsible Role | RACI-R | RACI-A | RACI-C | RACI-I | Directive Section | Coverage Status | Gap Recommendation | Category
----------------------------------------------------------------------------------------------------------------------------------------------------------
1    | 9.2.010 – Team Selection | PM defines staffing needs | Project Manager | (empty) | (empty) | (empty) | (empty) | Sec. 9.5 PM (manpower plan) | ✔ Covered | No change required. | Team selection and turnover
2    | 9.2.010 – Team Selection | GS assigns field supervisors | General Superintendent | (empty) | (empty) | (empty) | (empty) | Sec. 9.4 GS (manpower assignment) | ✔ Covered | No change required. | Team selection and turnover
3    | 9.2.010 – Team Selection | Branch Manager approves staffing plan | Branch Manager | (empty) | (empty) | (empty) | (empty) | Sec. 9.6 Branch Mgmt (operations control) | ⚠ Gap – approval not explicit | Add approval language to Sec. 9.6. | Team selection and turnover
4    | 9.2.010 – Team Selection | Safety Coordinator advises on assignments | Safety Coordinator | (empty) | (empty) | (empty) | (empty) | Sec. 7.2.6 JD (safety hazard identification) | ⚠ Gap – advisory role not explicit | Add cross-check with Safety Coordinator. | Team selection and turnover
5    | 9.2.015 – Project Turnover Meeting | Conduct estimator-led turnover meeting | Estimator | (empty) | (empty) | (empty) | (empty) | Sec. 9.7 Estimating (turnover participation) | ✔ Covered | No change required. | Team selection and turnover
6    | 9.2.015 – Project Turnover Meeting | Participate in turnover meeting | PM, Branch Mgr, GS, Field Leadership, Prefab, Safety | (empty) | (empty) | (empty) | (empty) | Sec. 9.5 PM (turnover), Sec. 9.13 BM, Sec. 9.3 Field Leadership | ✔ Covered | No change required. | Team selection and turnover
7    | 9.2.015 – Project Turnover Meeting | Prepare meeting agenda and minutes | Project Manager | (empty) | (empty) | (empty) | (empty) | Sec. 9.5 PM (meeting leadership) | ⚠ Gap – agenda/minutes not required | Add to Sec. 9.5: PM must issue minutes within 48 hrs. | Team selection and turnover
8    | 9.2.020 - Procurement of Large Feeder Wire | Populate Feeder Wire Procurement & Release Log upon NOA/LOI and confirm feede... | Project Manager | (empty) | (empty) | (empty) | (empty) | Sec. 9.5 PM (procurement planning); Sec. 9.16 Purchasing | ⚠ Gap – feeder log use not explicit | Add requirement for Feeder Wire Procurement & Release Log to Sec. 9.5 PM (pro... | Materials Management
9    | 9.2.020 - Procurement of Large Feeder Wire | Issue RFQs and obtain 2+ documented vendor quotes for large feeder wire. | Purchasing | (empty) | (empty) | (empty) | (empty) | Sec. 9.16 Purchasing (pre-buyout procurement) | ⚠ Gap – competitive quote documentation not explicit | Update Sec. 9.16 Purchasing to require at least two documented quotes for lar... | Materials Management
10   | 9.2.020 - Procurement of Large Feeder Wire | Select vendor and set PO terms including pricing lock, lead times, and delive... | Project Manager | (empty) | (empty) | (empty) | (empty) | Sec. 9.5 PM (procurement planning); Sec. 9.16 Purchasing | ✔ Covered | No change required. | Materials Management
11   | 9.2.020 - Procurement of Large Feeder Wire | Assemble and submit feeder wire submittals; hold releases until submittal app... | Project Manager | (empty) | (empty) | (empty) | (empty) | Sec. 9.5 PM (submittals management) | ✔ Covered | No change required. | Materials Management
12   | 9.2.020 - Procurement of Large Feeder Wire | Pre-plan logistics and conduit/wire pull schedule with Field Supervision usin... | Project Manager | (empty) | (empty) | (empty) | (empty) | Sec. 9.5 PM (material handling plan); Sec. 9.3 Field Leadership (pre-planning) | ✔ Covered | No change required. | Materials Management
