"SOPID","Title","FileName","Description","ContentPreview"
"9.2.005","9.2.005 – Review Contract for High Risk Clauses","9.2.005 – Review Contract for High Risk Clauses.docx","To establish a standardized process for reviewing contract terms to identify unfavorable or high-risk clauses before baseline planning begins, ensuring proper risk mitigation and approval protocols are in place.","SOP: 9.2.005 - Review Contract for Unfavorable or High-Risk Clauses Department: Branch Management Related SOPs: 9.1.xxx – Estimating Contract Requirements Review 9.2.015 - Project Turnover Meeting 9.2.030 – PM Review Contract and High-Risk Clauses ================================================================================ DOCUMENT REFERENCES ================================================================================ Training Materials (Foreman Training Binder): - Tab 2: Preplanning & S"
"9.2.010","9.2.010 – 015 Team Selection and Project Turnover","9.2.010 – 015 Team Selection and Project Turnover.docx","To establish a structured process for selecting the project management and field leadership teams and to ensure effective knowledge transfer from the estimating phase to project execution.","GSL ELECTRIC Standard Operating Procedure (SOP) Title: SOP 9.2.010/9.2.015: Team Selection and Estimator Turnover Department: Operations / Purchasing Effective Date: [Insert Date] Approved By: [Insert Approving Authority] Reviewed By: [Insert Reviewer Name] Version: 1.0 ================================================================================ DOCUMENT REFERENCES ================================================================================ Training Materials: - Tab 3: Kickoff/Project Tu"
"9.2.010","9.2.010 – Team Selection","9.2.010 – Team Selection.docx","To establish a standardized process for selecting and assembling the project team immediately after project award, ensuring the right mix of skills, experience, and availability to meet project requirements.","SOP: 9.2.010 - Team Selection Department: Project Management / Operations Related SOPs: 9.2.015 - Project Turnover Meeting 9.2.040 - PM Reviews Plans, Specifications & Schedule 9.2.130 - Construction Execution Kickoff Meeting ================================================================================ DOCUMENT REFERENCES ================================================================================ Training Materials (Foreman Training Binder): - Tab 2: Preplanning & Staging - Tab 3: Kickof"
"9.2.015","9.2.015 – Project Turnover Meeting","9.2.015 – Project Turnover Meeting.docx","To ensure a consistent and documented turnover process for newly awarded projects using a standardized Smartsheet agenda to guide communication, task planning, and team alignment.","SOP 9.010.41 – Project Turnover Meeting Department: Project Management / Operations Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.2 Related SOPs: 9.005.41 – Team Selection 9.020.41 – PM Reviews Plans, Specs & Schedule Reference: Pre-Planning Smartsheet Agenda (Turnover Workbook)  ================================================================================ DOCUMENT REFERENCES ================================================================================ Training Materials "
"9.2.030","9.2.030 – 070 Scope and Contract Review","9.2.030 – 070 Scope and Contract Review.docx","To ensure comprehensive understanding of project requirements and contract obligations by thoroughly reviewing the scope, specifications, plans, and contract documents prior to execution.","GSL ELECTRIC Standard Operating Procedure (SOP) Title: SOP 9.2.030-070: Scope and Contract Review Department: Operations / Project Management / Field Leadership Effective Date: [Insert Date] Approved By: [Insert Approving Authority] Reviewed By: [Insert Reviewer Name] Document Owner: [Insert Name] Next Review Date: [Insert Review Cycle] Version: 1.0 ================================================================================ DOCUMENT REFERENCES ==============================================="
"9.2.030","9.2.030 – Review Contract for Unfavorable or High Risk Clauses","9.2.030 – Review Contract for Unfavorable or High Risk Clauses.docx","To ensure all project contracts are reviewed systematically for unfavorable or high-risk clauses that could affect project execution, budget, or liability, and to define mitigation measures prior to mobilization.","SOP 9.2.030 – Review Contract for Unfavorable or High-Risk Clauses Department: Project Management / Pre-Construction Created by: Schachinger Solutions GmbH Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.010 – Project Turnover Meeting; 9.41.020 – Project Manager Reviews Plans, Specifications & Schedule Reference: GSL Pre-Construction Planning – Contract Review  ================================================================================ DOCUMENT REFERENCES ===================="
"9.2.040","9.2.040 – Project Manager Reviews Plans, Specifications & Schedule","9.2.040 – Project Manager Reviews Plans, Specifications & Schedule.docx","To ensure that the Project Manager conducts a detailed review of project drawings, specifications, and schedules to confirm alignment with contract requirements and identify risks before mobilization.","SOP 9.2.040 – Project Manager Reviews Plans, Specifications & Schedule Department: Project Management Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.015 – Review Contract for Unfavorable or High-Risk Clauses; 9.41.025 – Field Supervisor Reviews Plans, Specifications & Schedule Reference: GSL Pre-Construction Planning – Scope & Schedule Review  ================================================================================ DOCUMENT REFERENCES ==============="
"9.2.050","9.2.050 – Field Supervisor Reviews Plans, Specifications & Schedule","9.2.050 – Field Supervisor Reviews Plans, Specifications & Schedule.docx","To ensure Field Supervisors conduct a detailed review of project drawings, specifications, and schedules with a focus on constructability, sequencing, and field logistics, supporting accurate execution planning.","SOP 9.2.050 – Field Supervisor Reviews Plans, Specifications & Schedule Department: Field Operations Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.020 – Project Manager Reviews Plans, Specifications & Schedule; 9.41.030 – Create List of Issues & Begin RFI Process Reference: GSL Pre-Construction Planning – Scope & Schedule Review  ================================================================================ DOCUMENT REFERENCES ============================"
"9.2.055","9.2.055 – Compare Est vs Planned","9.2.055 – Compare Est vs Planned.docx","============================================================To establish a standardized process for comparing estimated bid values against planned project performance, identifying variances and adjusting expectations before construction begins.","SOP: 9.2.055 - Compare Estimated vs. Planned Performance Department: Project Management / Estimating Related SOPs: - 9.2.015 - Project Turnover Meeting - 9.2.090 - Develop Labor Budget - 9.2.140 - Develop Project Budget ============================================================ ================================================================================ DOCUMENT REFERENCES ================================================================================ Training Materials (Foreman Training "
"9.2.057","9.2.057 – Identify VE and Prefabrication Opportunities","9.2.057 – Identify VE and Prefabrication Opportunities.docx","To define the process for identifying, developing, and documenting the project’s prefabrication strategy, allowing for improved planning, efficiency, and field execution through the use of off-site construction.","SOP 9.090.41 – Prefab Plan Created Department: Project Management / Prefabrication Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.080.41 – Initial Submittals Created and Sent 9.100.41 – Initial Coordination Drawings Started Reference: GSL Pre-Construction Planning Process  ================================================================================ DOCUMENT REFERENCES ================================================================================ Training "
"9.2.060","9.2.060 – Create Issue List and Begin RFI Process","9.2.060 – Create Issue List and Begin RFI Process.docx","============================================================To establish a standardized process for documenting project issues identified during pre-construction review and initiating the Request for Information (RFI) process to resolve them before construction begins.","SOP: 9.2.060 - Create List of Issues and Begin RFI Process Department: Project Management Related SOPs: - 9.2.040 - PM Reviews Plans, Specifications & Schedule - 9.2.050 - FS Reviews Plans, Specifications & Schedule - 9.4.205 - Manage RFIs (Requests for Information) ============================================================ ================================================================================ DOCUMENT REFERENCES ======================================================================="
"9.2.060","9.2.060 – Create List of Issues & Begin RFI Process","9.2.060 – Create List of Issues & Begin RFI Process.docx","To provide a standardized process for documenting project issues and resolving them through the Request for Information (RFI) process before construction begins.","SOP 9.2.060 – Create List of Issues & Begin RFI Process Department: Project Management / Pre-Construction Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.025 – Field Supervisor Reviews Plans, Specifications & Schedule; 9.41.035 – Conduct Site Visit Reference: GSL Pre-Construction Planning – RFI Process  ================================================================================ DOCUMENT REFERENCES ========================================================="
"9.2.070","9.2.070 – Conduct Site Visit","9.2.070 – Conduct Site Visit.docx","============================================================To establish a standardized process for conducting pre-construction site visits to assess existing conditions, identify logistical requirements, and validate planning assumptions before mobilization.","SOP: 9.2.070 - Conduct Site Visit Department: Project Management / Field Operations Related SOPs: - 9.2.050 - FS Reviews Plans, Specifications & Schedule - 9.2.080 - Prepare Material Handling Plan - 9.3.010 - Setup Office Trailer - 9.3.470 - Develop Site-Specific Safety Plan ============================================================ ================================================================================ DOCUMENT REFERENCES =============================================================="
"9.2.080","9.2.080 – Prepare Material Handling Plan","9.2.080 – Prepare Material Handling Plan.docx","To define the process for creating a job-specific Material Handling Plan that ensures efficient, safe, and cost-effective delivery, storage, movement, and installation of materials on-site.","SOP 9.060.41 – Prepare Material Handling Plan Department: Project Management / Field Operations Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.055.41 – Procurement of Large Feeder Wire 9.070.41 – Prepare Layout & Sequencing Plan  ================================================================================ DOCUMENT REFERENCES ================================================================================ Training Materials (Foreman Training Binder): - Tab 2"
"9.2.090","9.2.090 – Develop Labor Budget","9.2.090 – Develop Labor Budget.docx","To establish a standardized process for creating a project-specific labor budget that reflects estimated manhours by phase and supports resource planning, cost tracking, and productivity measurement.","SOP 9.065.41 – Develop Labor Budget Department: Project Management / Operations Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.060.41 – Prepare Material Handling Plan 9.075.41 – Develop Project Schedule  ================================================================================ DOCUMENT REFERENCES ================================================================================ Training Materials (Foreman Training Binder): - Tab 2: Preplanning & Staging - "
"9.2.100","9.2.100 – Prepare Layout & Sequencing Plan","9.2.100 – Prepare Layout & Sequencing Plan.docx","To establish a coordinated layout and sequencing plan that supports efficient installation, minimizes trade conflicts, and ensures project milestones are achieved.","SOP 9.2.100 – Prepare Layout & Sequencing Plan Department: Project Management / Field Operations Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.41.065 – Develop Labor Budget; 9.41.075 – Develop Project Schedule Reference: GSL Pre-Construction Planning – Layout & Sequencing  ================================================================================ DOCUMENT REFERENCES ================================================================================ Training"
"9.2.110","9.2.110 – Develop Project Schedule","9.2.110 – Develop Project Schedule.docx","To outline the process for developing a complete project schedule that aligns field activities, procurement, prefab, and inspections to meet project milestones and client expectations.","SOP 9.075.41 – Develop Project Schedule Department: Project Management / Operations Created by: Tom Ewing Effective Date: [Insert Date] Version: 1.0 Related SOPs: 9.065.41 – Develop Labor Budget 9.070.41 – Prepare Layout & Sequencing Plan  ================================================================================ DOCUMENT REFERENCES ================================================================================ Training Materials (Foreman Training Binder): - Tab 2: Preplanning & Staging "
