"SOPID","Title","FileName","Description"
"9.1.050","Prepare Construction Takeoff","9.1.050 – Prepare Construction Takeoff.docx","To prepare a detailed construction takeoff that validates estimated quantities and provides the basis for procurement, labor budgeting, and execution planning.  Scope This SOP applies to Project Managers and Estimators for all awarded projects be..."
"9.2.005","Review Contract for High Risk Clauses","9.2.005 – Review Contract for High Risk Clauses.docx","To establish a standardized process for reviewing contract terms to identify unfavorable or high-risk clauses before baseline planning begins, ensuring proper risk mitigation and approval protocols are in place. SCOPE Applies to all projects / sit..."
"9.2.010","Team Selection","9.2.010 – Team Selection.docx","To establish a standardized process for selecting and assembling the project team immediately after project award, ensuring the right mix of skills, experience, and availability to meet project requirements. SCOPE Applies to all projects / situati..."
"9.2.015","Project Turnover Meeting","9.2.015 – Project Turnover Meeting.docx","To ensure a consistent and documented turnover process for newly awarded projects using a standardized Smartsheet agenda to guide communication, task planning, and team alignment.  Scope This SOP applies to all projects awarded through GSL's esti..."
"9.2.020","Procurement of Large Feeder Wire","9.2.020 – Procurement of Large Feeder Wire.docx","To define the standardized process for the planning, procurement, and delivery of large feeder wire to ensure that project cost, schedule, and quality targets are achieved in accordance with GSL Electric’s Management Directives.  2."
"9.2.030","Review Contract for Unfavorable or High Risk Clauses","9.2.030 – Review Contract for Unfavorable or High Risk Clauses.docx","To ensure all project contracts are reviewed systematically for unfavorable or high-risk clauses that could affect project execution, budget, or liability, and to define mitigation measures prior to mobilization.  Scope This SOP applies to all Pr..."
"9.2.040","Project Manager Reviews Plans, Specifications & Schedule","9.2.040 – Project Manager Reviews Plans, Specifications & Schedule.docx","To ensure that the Project Manager conducts a detailed review of project drawings, specifications, and schedules to confirm alignment with contract requirements and identify risks before mobilization.  Scope This SOP applies to all Project Manage..."
"9.2.050","Field Supervisor Reviews Plans, Specifications & Schedule","9.2.050 – Field Supervisor Reviews Plans, Specifications & Schedule.docx","To ensure Field Supervisors conduct a detailed review of project drawings, specifications, and schedules with a focus on constructability, sequencing, and field logistics, supporting accurate execution planning.  Scope This SOP applies to Field S..."
"9.2.055","Compare Estimated vs Planned Performance","9.2.055 – Compare Estimated vs Planned Performance.docx","To confirm that bid assumptions for labor, materials, and productivity align with the planned project execution strategy, ensuring accurate budgets and realistic performance goals.  Scope This SOP applies to Project Managers and Estimators during..."
"9.2.057","Identify VE and Prefabrication Opportunities","9.2.057 – Identify VE and Prefabrication Opportunities.docx","To define the process for identifying, developing, and documenting the project’s prefabrication strategy, allowing for improved planning, efficiency, and field execution through the use of off-site construction.  Scope Applies to all projects wit..."
